"","Dia","Mes","Anio","pred"
"1",1,1,12,0
"2",2,1,12,283.776104347554
"3",3,1,12,710.648803644448
"4",4,1,12,911.729064581743
"5",5,1,12,952.469158274849
"6",6,1,12,1029.26113828776
"7",7,1,12,146.803222779899
"8",8,1,12,0
"9",9,1,12,0
"10",10,1,12,915.543784260019
"11",11,1,12,1017.12429868991
"12",12,1,12,1042.87354278809
"13",13,1,12,1105.79116816795
"14",14,1,12,201.857877273997
"15",15,1,12,0
"16",16,1,12,638.729897174204
"17",17,1,12,851.793268238136
"18",18,1,12,979.358296504862
"19",19,1,12,1035.04807755126
"20",20,1,12,1072.93690929925
"21",21,1,12,166.947629495846
"22",22,1,12,0
"23",23,1,12,707.014618052217
"24",24,1,12,836.303619975478
"25",25,1,12,1051.57528155451
"26",26,1,12,1101.57363388441
"27",27,1,12,1243.35723777839
"28",28,1,12,423.156072154608
"29",29,1,12,0
"30",30,1,12,1184.14989765847
"31",31,1,12,1108.71360309642
"32",1,2,12,912.158809166228
"33",2,2,12,947.520173589834
"34",3,2,12,1067.32251017255
"35",4,2,12,217.22519724544
"36",5,2,12,0
"37",6,2,12,754.896636673636
"38",7,2,12,977.290960049273
"39",8,2,12,1141.84979085473
"40",9,2,12,1163.59804571041
"41",10,2,12,1272.10845082511
"42",11,2,12,328.302990179796
"43",12,2,12,0
"44",13,2,12,831.496084846411
"45",14,2,12,1032.30993805472
"46",15,2,12,1147.06162528108
"47",16,2,12,1158.628642642
"48",17,2,12,1208.34706541832
"49",18,2,12,290.535931235141
"50",19,2,12,0
"51",20,2,12,798.641911363351
"52",21,2,12,997.399702115791
"53",22,2,12,1141.15354425299
"54",23,2,12,1226.91336282406
"55",24,2,12,1192.85741652751
"56",25,2,12,362.752916169539
"57",26,2,12,0
"58",27,2,12,969.06223984677
"59",28,2,12,1253.60814477558
"60",29,2,12,1519.69050962089
"61",1,3,12,989.688932385257
"62",2,3,12,1022.72577910654
"63",3,3,12,201.125993356564
"64",4,3,12,0
"65",5,3,12,752.082796641453
"66",6,3,12,993.447190410239
"67",7,3,12,1156.47060517027
"68",8,3,12,1219.37991407376
"69",9,3,12,1238.80365122712
"70",10,3,12,405.911934009124
"71",11,3,12,0
"72",12,3,12,843.783959353491
"73",13,3,12,1070.04663858301
"74",14,3,12,1211.48958317572
"75",15,3,12,1224.59174850011
"76",16,3,12,1233.83424815871
"77",17,3,12,342.150548602334
"78",18,3,12,0
"79",19,3,12,0
