"","Dia","Mes","Anio","pred"
"1",1,1,18,0
"2",2,1,18,311.433309024464
"3",3,1,18,678.935099705753
"4",4,1,18,778.365838741079
"5",5,1,18,816.781414731863
"6",6,1,18,0
"7",7,1,18,0
"8",8,1,18,0
"9",9,1,18,671.320840967013
"10",10,1,18,883.830080321323
"11",11,1,18,883.761072849246
"12",12,1,18,907.185799245103
"13",13,1,18,28.7013022922729
"14",14,1,18,0
"15",15,1,18,493.799666508758
"16",16,1,18,666.387101851114
"17",17,1,18,820.07956429944
"18",18,1,18,845.995070664198
"19",19,1,18,899.360334008277
"20",20,1,18,0
"21",21,1,18,0
"22",22,1,18,487.89157364145
"23",23,1,18,734.671822729127
"24",24,1,18,804.589916036783
"25",25,1,18,918.212055713843
"26",26,1,18,965.885890341425
"27",27,1,18,166.26737190271
"28",28,1,18,0
"29",29,1,18,866.428539008323
"30",30,1,18,1211.80710233538
"31",31,1,18,1076.99989915772
"32",1,2,18,778.795583325564
"33",2,2,18,811.832430046848
"34",3,2,18,0
"35",4,2,18,0
"36",5,2,18,541.18944758176
"37",6,2,18,782.553841350546
"38",7,2,18,945.577256110577
"39",8,2,18,1008.48656501407
"40",9,2,18,1027.91030216742
"41",10,2,18,195.018584949431
"42",11,2,18,0
"43",12,2,18,632.890610293799
"44",13,2,18,859.153289523321
"45",14,2,18,1000.59623411602
"46",15,2,18,1013.69839944041
"47",16,2,18,1022.94089909902
"48",17,2,18,131.257199542642
"49",18,2,18,0
"50",19,2,18,625.065336077942
"51",20,2,18,826.299116040261
"52",21,2,18,965.685998177095
"53",22,2,18,1007.79031841233
"54",23,2,18,1091.22561928107
"55",24,2,18,115.767550651832
"56",25,2,18,0
"57",26,2,18,691.590892409807
"58",27,2,18,996.71944452368
"59",28,2,18,1221.89444083688
"60",1,3,18,817.664455601822
"61",2,3,18,850.701302323106
"62",3,3,18,29.1015165731292
"63",4,3,18,0
"64",5,3,18,580.058319858018
"65",6,3,18,821.422713626803
"66",7,3,18,984.446128386835
"67",8,3,18,1047.35543729032
"68",9,3,18,1066.77917444368
"69",10,3,18,233.887457225689
"70",11,3,18,0
"71",12,3,18,671.759482570056
"72",13,3,18,898.022161799579
"73",14,3,18,1039.46510639228
"74",15,3,18,1052.56727171667
"75",16,3,18,1061.80977137527
"76",17,3,18,170.126071818899
"77",18,3,18,0
"78",19,3,18,0
"79",20,3,18,865.167988316519
"80",21,3,18,1004.55487045335
"81",22,3,18,1046.65919068858
"82",23,3,18,1130.09449155733
"83",24,3,18,154.63642292809
"84",25,3,18,0
"85",26,3,18,730.459764686064
"86",27,3,18,1035.58831679994
"87",28,3,18,1260.76331311314
"88",29,3,18,0
"89",30,3,18,0
"90",31,3,18,427.046406049005
"91",1,4,18,0
"92",2,4,18,432.054938856764
"93",3,4,18,715.202223659377
"94",4,4,18,910.48107266925
"95",5,4,18,955.605699095197
"96",6,4,18,1033.62514464409
"97",7,4,18,151.272397467135
"98",8,4,18,0
"99",9,4,18,648.132810977339
"100",10,4,18,919.988164311936
"101",11,4,18,1021.55886560361
"102",12,4,18,1047.30686180724
"103",13,4,18,1110.22459281686
"104",14,4,18,206.29137547258
"105",15,4,18,0
"106",16,4,18,643.163407908932
"107",17,4,18,856.226778905146
"108",18,4,18,983.79180665895
"109",19,4,18,1039.48158759138
"110",20,4,18,1077.3704193338
"111",21,4,18,171.381139533653
"112",22,4,18,0
"113",23,4,18,711.448128090987
"114",24,4,18,840.737130014337
"115",25,4,18,1056.00879159335
"116",26,4,18,1106.00714392324
"117",27,4,18,1247.79074781722
"118",28,4,18,427.58958219344
"119",29,4,18,0
"120",30,4,18,1188.58340769731
"121",1,5,18,0
"122",2,5,18,778.922580816273
"123",3,5,18,901.049435101311
"124",4,5,18,992.354244506894
"125",5,5,18,93.7522308978273
"126",6,5,18,0
"127",7,5,18,647.672936758138
"128",8,5,18,871.6026761792
"129",9,5,18,995.000452936848
"130",10,5,18,1105.83537575387
"131",11,5,18,1103.43203744125
"132",12,5,18,185.453393609866
"133",13,5,18,0
"134",14,5,18,0
"135",15,5,18,876.814510605547
"136",16,5,18,990.031049868441
"137",17,5,18,1042.07399034708
"138",18,5,18,1065.6649784966
"139",19,5,18,177.628119394009
"140",20,5,18,0
"141",21,5,18,667.781678824656
"142",22,5,18,870.906429577462
"143",23,5,18,1058.3157700505
"144",24,5,18,1026.58434145627
"145",25,5,18,1137.88196343099
"146",26,5,18,244.153675725874
"147",27,5,18,0
"148",28,5,18,923.990121484443
"149",29,5,18,1249.44339494536
"150",30,5,18,1535.45104965682
"151",31,5,18,1298.99432457719
"152",1,6,18,855.001140670787
"153",2,6,18,0
"154",3,6,18,0
"155",4,6,18,0
"156",5,6,18,780.739953146879
"157",6,6,18,962.733438300059
"158",7,6,18,1024.10733115812
"159",8,6,18,1084.69212235929
"160",9,6,18,162.713737179953
"161",10,6,18,0
"162",11,6,18,0
"163",12,6,18,872.441115858917
"164",13,6,18,1039.33288647283
"165",14,6,18,1079.12630916357
"166",15,6,18,1089.90395678564
"167",16,6,18,157.744334111546
"168",17,6,18,0
"169",18,6,18,647.905630193058
"170",19,6,18,864.615841643061
"171",20,6,18,1006.47871298977
"172",21,6,18,1044.21607322464
"173",22,6,18,1083.99587575755
"174",23,6,18,226.029054293601
"175",24,6,18,0
"176",25,6,18,720.122615127456
"177",26,6,18,931.141397974925
"178",27,6,18,1176.89904147319
"179",28,6,18,1300.42451588443
"180",29,6,18,1462.53284112545
"181",30,6,18,703.16433389992
