"","Dia","Mes","Anio","pred"
"1","02","1","12",283.776104355359
"2","03","1","12",710.648803652998
"3","04","1","12",911.729064589134
"4","05","1","12",952.469158281757
"5","06","1","12",1029.2611382946
"6","07","1","12",146.803222786751
"7","10","1","12",915.543784266877
"8","11","1","12",1017.12429869677
"9","12","1","12",1042.87354279495
"10","13","1","12",1105.79116817481
"11","14","1","12",201.857877280856
"12","16","1","12",638.729897181064
"13","17","1","12",851.793268244995
"14","18","1","12",979.358296511721
"15","19","1","12",1035.04807755812
"16","20","1","12",1072.93690930611
"17","21","1","12",166.947629502705
"18","23","1","12",707.014618059077
"19","24","1","12",836.303619982338
"20","25","1","12",1051.57528156137
"21","26","1","12",1101.57363389127
"22","27","1","12",1243.35723778525
"23","28","1","12",423.156072161467
"24","30","1","12",1184.14989766533
"25","31","1","12",1108.71360310328
"26","01","2","12",912.158809173088
"27","02","2","12",947.520173596693
"28","03","2","12",1067.32251017941
"29","04","2","12",217.2251972523
"30","06","2","12",754.896636680495
"31","07","2","12",977.290960056132
"32","08","2","12",1141.84979086159
"33","09","2","12",1163.59804571727
"34","10","2","12",1272.10845083197
"35","11","2","12",328.302990186655
"36","13","2","12",831.496084853271
"37","14","2","12",1032.30993806158
"38","15","2","12",1147.06162528794
"39","16","2","12",1158.62864264886
"40","17","2","12",1208.34706542518
"41","18","2","12",290.535931242001
"42","20","2","12",798.641911370211
"43","21","2","12",997.39970212265
"44","22","2","12",1141.15354425985
"45","23","2","12",1226.91336283092
"46","24","2","12",1192.85741653437
"47","25","2","12",362.752916176398
"48","27","2","12",969.06223985363
"49","28","2","12",1253.60814478244
"50","29","2","12",1519.69050962775
"51","01","3","12",989.688932392117
"52","02","3","12",1022.7257791134
"53","03","3","12",201.125993363424
"54","05","3","12",752.082796648312
"55","06","3","12",993.447190417098
"56","07","3","12",1156.47060517713
"57","08","3","12",1219.37991408062
"58","09","3","12",1238.80365123398
"59","10","3","12",405.911934015983
"60","12","3","12",843.783959360351
"61","13","3","12",1070.04663858987
"62","14","3","12",1211.48958318257
"63","15","3","12",1224.59174850696
"64","16","3","12",1233.83424816557
"65","17","3","12",342.150548609194
"66","20","3","12",1037.19246510681
"67","21","3","12",1176.57934724365
"68","22","3","12",1218.68366747888
"69","23","3","12",1302.11896834762
"70","24","3","12",326.660899718385
"71","26","3","12",902.484241476359
"72","27","3","12",1207.61279359023
"73","28","3","12",1432.78778990343
"74","29","3","12",1597.22063284678
"75","30","3","12",1779.25424795394
"76","31","3","12",599.0708828393
"77","02","4","12",604.079415647059
"78","03","4","12",887.226700449671
"79","04","4","12",1082.50554945954
"80","07","4","12",323.29687425743
"81","09","4","12",820.157287767634
"82","10","4","12",1092.01264110223
"83","11","4","12",1193.5833423939
"84","12","4","12",1219.33133859753
"85","13","4","12",1282.24906960716
"86","14","4","12",378.315852262875
"87","16","4","12",815.187884699227
"88","17","4","12",1028.25125569544
"89","18","4","12",1155.81628344925
"90","19","4","12",1211.50606438167
"91","20","4","12",1249.3948961241
"92","21","4","12",343.405616323948
"93","23","4","12",883.472604881282
"94","24","4","12",1012.76160680463
"95","25","4","12",1228.03326838364
"96","26","4","12",1278.03162071354
"97","27","4","12",1419.81522460752
"98","28","4","12",599.614058983735
"99","30","4","12",1360.6078844876
"100","02","5","12",950.947057606568
"101","03","5","12",1073.07391189161
"102","04","5","12",1164.37872129719
"103","05","5","12",265.776707688122
"104","07","5","12",819.697413548432
"105","08","5","12",1043.62715296949
